"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2701,63.7,63.7,36.3,"Basel BS","Die Stimmbevölkerung von Basel hat die Umweltverantwortungsinitiative mit 63,7 Prozent angenommen. Basel hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Basel-Stadt."
2702,27.7,27.7,72.3,"Bettingen BS","In Bettingen hat die Stimmbevölkerung die Umweltverantwortungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 72,3 Prozent verworfen. Bettingen hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Basel-Stadt."
2703,28.4,28.4,71.6,"Riehen BS","Nein zur Umweltverantwortungsinitiative in Riehen: Die Gemeinde hat die Vorlage mit 71,6 Prozent abgelehnt. Riehen hat damit anders abgestimmt als der Kanton Basel-Stadt, der die Vorlage angenommen hat."
