"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1630,31.6,31.6,68.4,"Glarus Nord GL","Keine Mehrheit für die Umweltverantwortungsinitiative in Glarus Nord: Mit 4'995 Nein-Stimmen zu 2'309 Ja-Stimmen oder 68,4 Prozent hat die Gemeinde das Volksbegehren verworfen."
1631,21.4,21.4,78.6,"Glarus Süd GL","Nein zur Umweltverantwortungsinitiative in Glarus Süd: Die Gemeinde hat die Vorlage mit 78,6 Prozent abgelehnt. Glarus Süd hat damit gleich wie der Kanton Glarus Nein gesagt zu dieser Vorlage."
1632,13.2,13.2,86.8,"Glarus GL","Glarus hat die Umweltverantwortungsinitiative mit 86,8 Prozent abgelehnt. Glarus hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Glarus."
