"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
17.4,82.6,"<b>Solarinitiative im Kanton Bern</b><br>48 von 330 Gemeinden ausgezählt (14.5%)","<b>Initiative populaire «Initiative solaire bernoise»</b><br>48 des 330 communes sont connus (14.5%)","<b>NA</b><br>48 dei 330 comuni sono noti (14.5%)"
62.8,37.2,"<b>Gegenvorschlag des Grossen Rates</b><br>48 von 330 Gemeinden ausgezählt (14.5%)","<b>Contre-projet du Grand Conseil</b><br>48 des 330 communes sont connus (14.5%)","<b>NA</b><br>48 dei 330 comuni sono noti (14.5%)"
16.7,83.3,"<b>Stichfrage</b><br>48 von 330 Gemeinden ausgezählt (14.5%)","<b>Question subsidiaire</b><br>48 des 330 communes sont connus (14.5%)","<b>NA</b><br>48 dei 330 comuni sono noti (14.5%)"
